"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 20 10:08:22 GMT 2025","Thu Mar 20 10:08:23 GMT 2025","990","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Thu Mar 20 10:08:26 GMT 2025","Thu Mar 20 10:08:26 GMT 2025","257","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithSameId","Project can not be created with already used id",""
"passed","Thu Mar 20 10:08:27 GMT 2025","Thu Mar 20 10:08:27 GMT 2025","179","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithUnderscoredId","Project can not be created with underscore in the beginning of id",""
"passed","Thu Mar 20 10:08:23 GMT 2025","Thu Mar 20 10:08:24 GMT 2025","189","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCopiesProjectWithNonExistentLocator","Project can not be copies from non existing project",""
"passed","Thu Mar 20 10:08:26 GMT 2025","Thu Mar 20 10:08:26 GMT 2025","160","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithNonLatin","Project can not be created with non-latin id",""
"passed","Thu Mar 20 10:08:24 GMT 2025","Thu Mar 20 10:08:24 GMT 2025","199","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithCopyAllAssociatedSettingsFalse","Project with 'copyAllAssociatedSettings' = false can be created by user",""
"passed","Thu Mar 20 10:08:23 GMT 2025","Thu Mar 20 10:08:23 GMT 2025","77","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","superUserCreatesProject","Project can be created by Super user",""
"passed","Thu Mar 20 10:08:25 GMT 2025","Thu Mar 20 10:08:25 GMT 2025","182","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameAndEmptyId","Project with empty name and empty id can not be created by user",""
"passed","Thu Mar 20 10:08:25 GMT 2025","Thu Mar 20 10:08:25 GMT 2025","211","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyNameAndInvalidId","Project with empty name and invalid id can not be created by user",""
"passed","Thu Mar 20 10:08:24 GMT 2025","Thu Mar 20 10:08:25 GMT 2025","223","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyId","Project with empty id can not be created by user",""
"passed","Thu Mar 20 10:08:26 GMT 2025","Thu Mar 20 10:08:27 GMT 2025","339","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithSameName","Project can not be created with already used name",""
"passed","Thu Mar 20 10:08:25 GMT 2025","Thu Mar 20 10:08:26 GMT 2025","172","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithLongId","Project can not be created with id bigger then 225 symbols",""
"passed","Thu Mar 20 10:07:04 GMT 2025","Thu Mar 20 10:08:01 GMT 2025","56932","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Thu Mar 20 10:08:24 GMT 2025","Thu Mar 20 10:08:24 GMT 2025","198","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProject","Project can be created by user",""
"passed","Thu Mar 20 10:08:19 GMT 2025","Thu Mar 20 10:08:19 GMT 2025","7","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Thu Mar 20 10:08:19 GMT 2025","Thu Mar 20 10:08:19 GMT 2025","3","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Thu Mar 20 10:08:19 GMT 2025","Thu Mar 20 10:08:21 GMT 2025","2272","Surefire suite","Surefire test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Mar 20 10:08:23 GMT 2025","Thu Mar 20 10:08:23 GMT 2025","184","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","nonAdminUserCreatesProject","Project can not be created by user with certain roles",""
"passed","Thu Mar 20 10:08:25 GMT 2025","Thu Mar 20 10:08:25 GMT 2025","205","Surefire suite","Surefire test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithEmptyName","Project with empty name can not be created by user",""
